2026-03-04T10:50:41Z [INFO] cryptotaxcalc.app: POST /export/workspace_summary/2.pdf/job -> 200 in 0.006s
2026-03-04T10:50:41Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.001s
2026-03-04T10:50:41Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.001s
2026-03-04T10:50:42Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.048s
2026-03-04T10:50:42Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.062s
2026-03-04T10:50:43Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.078s
2026-03-04T10:50:44Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.077s
2026-03-04T10:50:44Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.046s
2026-03-04T10:50:45Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.031s
2026-03-04T10:50:46Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.031s
2026-03-04T10:50:47Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.077s
2026-03-04T10:50:47Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.062s
2026-03-04T10:50:48Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.062s
2026-03-04T10:50:49Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.063s
2026-03-04T10:50:49Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.093s
2026-03-04T10:50:50Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.079s
2026-03-04T10:50:51Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.095s
2026-03-04T10:50:51Z [INFO] cryptotaxcalc.app: GET /export/pdf_job/dedc7decd10d41f3b8e869a39caf94a6 -> 200 in 0.001s
2026-03-04T10:50:56Z [INFO] cryptotaxcalc.app: GET /export/workspace_summary/2.pdf -> 200 in 0.018s
2026-03-04T10:50:56Z [INFO] cryptotaxcalc.app: GET /favicon.ico -> 200 in 0.002s
