2025-11-08T14:45:55Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-08T13:45:55Z, transactions=4
2025-11-08T14:45:55Z [INFO] cryptotaxcalc.fifo: FIFO completed: 2 events, 0 warnings.
2025-11-08T14:55:50Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-08T13:55:50Z, transactions=4
2025-11-08T14:55:50Z [INFO] cryptotaxcalc.fifo: FIFO completed: 2 events, 0 warnings.
2025-11-08T15:23:09Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-08T14:23:09Z, transactions=4
2025-11-08T15:23:09Z [INFO] cryptotaxcalc.fifo: FIFO completed: 2 events, 0 warnings.
2025-11-09T00:55:08Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-08T23:55:08Z, transactions=4
2025-11-09T00:55:08Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-08T23:55:08Z, transactions=4
2025-11-09T00:55:08Z [INFO] cryptotaxcalc.fifo: FIFO completed: 2 events, 0 warnings.
2025-11-09T00:55:08Z [INFO] cryptotaxcalc.fifo: FIFO completed: 2 events, 0 warnings.
2025-11-09T01:32:12Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T00:32:12Z, transactions=0
2025-11-09T01:32:12Z [INFO] cryptotaxcalc.fifo: FIFO completed: 0 events, 0 warnings.
2025-11-09T01:33:06Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T00:33:06Z, transactions=4
2025-11-09T01:33:06Z [INFO] cryptotaxcalc.fifo: FIFO completed: 2 events, 0 warnings.
2025-11-09T01:33:18Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T00:33:18Z, transactions=4
2025-11-09T01:33:18Z [INFO] cryptotaxcalc.fifo: FIFO completed: 2 events, 0 warnings.
2025-11-09T01:33:18Z [INFO] cryptotaxcalc.fifo: FIFO run started at 2025-11-09T00:33:18Z, transactions=4
2025-11-09T01:33:18Z [INFO] cryptotaxcalc.fifo: FIFO completed: 2 events, 0 warnings.
